taxid	name	rank	species_taxid	species_name	ogt	regime	ogt_match_type	ogt_row_count	ogt_temp_min	ogt_temp_max	ogt_raw_temps	ogt_sources	ogt_source_ids	ogt_parse_modes	ogt_has_range	ogt_range_count	ogt_source_taxids	superkingdom	phylum	class	order	family	genus
14	Dictyoglomus thermophilum	species	14	Dictyoglomus thermophilum	75.5	thermo	exact_taxid	2	75.5	75.5	73-78;75.5	BacDive;Lyubetsky et al., 2020	4239;Lyu927	point;range_midpoint	yes	1	14	Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
19	Syntrophotalea carbinolica	species	19	Syntrophotalea carbinolica	35.0	meso	exact_taxid	2	35.0	35.0	35.0;35.0	Lyubetsky et al., 2020;Tempura	Lyu555;Tempura3550	point	no	0	19	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea
21	Phenylobacterium immobile	species	21	Phenylobacterium immobile	29.0	meso	exact_taxid	1	29.0	29.0	28.0-30.0	BacDive	2339	range_midpoint	yes	1	21	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
23	Shewanella colwelliana	species	23	Shewanella colwelliana	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura8007	point	no	0	23	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
24	Shewanella putrefaciens	species	24	Shewanella putrefaciens	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Lyubetsky et al., 2020	Lyu477	point	no	0	24	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
25	Shewanella hanedai	species	25	Shewanella hanedai	15.0	psychro	exact_taxid	1	15.0	15.0	15.0	Tempura	Tempura8500	point	no	0	25	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
33	Myxococcus fulvus	species	33	Myxococcus fulvus	28.5	meso	exact_taxid	2	28.0	29.0	29.0;28.0	Lyubetsky et al., 2020;Tempura	Lyu324;Tempura6223	point	no	0	33	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
34	Myxococcus xanthus	species	34	Myxococcus xanthus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura7050	point	no	0	34	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
38	Archangium disciforme	species	38	Archangium disciforme	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura7277	point	no	0	38	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium
41	Stigmatella aurantiaca	species	41	Stigmatella aurantiaca	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura5428	point	no	0	41	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella
45	Melittangium lichenicola	species	45	Melittangium lichenicola	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Tempura	Tempura6478	point	no	0	45	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Melittangium
48	Archangium gephyra	species	48	Archangium gephyra	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura4447	point	no	0	48	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium
51	Chondromyces apiculatus	species	51	Chondromyces apiculatus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6215	point	no	0	51	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces
52	Chondromyces crocatus	species	52	Chondromyces crocatus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6214	point	no	0	52	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces
56	Sorangium cellulosum	species	56	Sorangium cellulosum	25.0	meso	exact_taxid	2	20.0	30.0	20.0;30.0	Lyubetsky et al., 2020;Tempura	Lyu143;Tempura6103	point	no	0	56	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Sorangium
84	Hyphomicrobium methylovorum	species	84	Hyphomicrobium methylovorum	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura7333	point	no	0	84	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium
86	Hyphomonas jannaschiana	species	86	Hyphomonas jannaschiana	37.0	meso	species_taxid	1	37.0	37.0	37.0	Tempura	Tempura3228	point	no	0	1280952	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas
89	Leptothrix discophora	species	89	Leptothrix discophora	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura7005	point	no	0	89	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Leptothrix
94	Stella humosa	species	94	Stella humosa	29.0	meso	exact_taxid	1	29.0	29.0	28-30	BacDive	64	range_midpoint	yes	1	94	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
97	Gallionella ferruginea	species	97	Gallionella ferruginea	20.0	meso	exact_taxid	1	20.0	20.0	20.0	Tempura	Tempura8485	point	no	0	97	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella
104	Cyclobacterium marinum	species	104	Cyclobacterium marinum	26.2	meso	exact_taxid	2	25.0	27.5	27.5;25.0	Lyubetsky et al., 2020;Tempura	Lyu232;Tempura8006	point	no	0	104	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium
106	Runella slithyformis	species	106	Runella slithyformis	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu256	point	no	0	106	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Runella
120	Planctopirus limnophila	species	120	Planctopirus limnophila	31.0	meso	exact_taxid	1	31.0	31.0	31.0	Tempura	Tempura4690	point	no	0	120	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus
125	Pirellula staleyi	species	125	Pirellula staleyi	27.0	meso	exact_taxid	1	27.0	27.0	27.0	Lyubetsky et al., 2020	Lyu216	point	no	0	125	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula
128	Isosphaera pallida	species	128	Isosphaera pallida	41.0	meso	exact_taxid	3	41.0	45.0	41.0;45.0;41.0	Lyubetsky et al., 2020;Tempura;ThermoBase	ThermoBase898;Lyu847;Tempura840	point	no	0	128	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera
134	Methylocystis parvus	species	134	Methylocystis parvus	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3957	point	no	0	134	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis
139	Borreliella burgdorferi	species	139	Borreliella burgdorferi	32.0	meso	exact_taxid	1	32.0	32.0	32.0	Lyubetsky et al., 2020	Lyu445	point	no	0	139	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
154	Spirochaeta thermophila	species	154	Spirochaeta thermophila	67.0	thermo	exact_taxid	2	67.0	67.0	67.0;67.0	Lyubetsky et al., 2020;Tempura	Lyu900;Tempura306	point	no	0	154	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
159	Brachyspira hyodysenteriae	species	159	Brachyspira hyodysenteriae	38.0	meso	exact_taxid	1	38.0	38.0	38.0	Lyubetsky et al., 2020	Lyu808	point	no	0	159	Bacteria	Spirochaetota	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira
160	Treponema pallidum	species	160	Treponema pallidum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu794	point	no	0	160	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
167	Treponema succinifaciens	species	167	Treponema succinifaciens	37.0	meso	exact_taxid	2	37.0	37.0	37.0;37.0	Lyubetsky et al., 2020;Tempura	Lyu796;Tempura2667	point	no	0	167	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
173	Leptospira interrogans	species	173	Leptospira interrogans	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu375	point	no	0	173	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
174	Leptospira borgpetersenii	species	174	Leptospira borgpetersenii	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu374	point	no	0	174	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
180	Leptospirillum ferrooxidans	species	180	Leptospirillum ferrooxidans	33.5	meso	exact_taxid	2	33.5	33.5	33.5;33.5	Lyubetsky et al., 2020;Tempura	Lyu514;Tempura2345	point	no	0	180	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum
192	Azospirillum brasilense	species	192	Azospirillum brasilense	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu639	point	no	0	192	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
193	Azospirillum lipoferum	species	193	Azospirillum lipoferum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu640	point	no	0	193	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
196	Campylobacter fetus	species	196	Campylobacter fetus	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu225	point	no	0	196	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
197	Campylobacter jejuni	species	197	Campylobacter jejuni	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Lyubetsky et al., 2020	Lyu587	point	no	0	197	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
206	Campylobacter sputorum	species	206	Campylobacter sputorum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu659	point	no	0	206	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
210	Helicobacter pylori	species	210	Helicobacter pylori	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu716	point	no	0	210	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
213	Helicobacter cinaedi	species	213	Helicobacter cinaedi	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu712	point	no	0	213	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
214	Helicobacter felis	species	214	Helicobacter felis	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu713	point	no	0	214	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
217	Helicobacter mustelae	species	217	Helicobacter mustelae	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu715	point	no	0	217	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
227	Pseudoalteromonas carrageenovora	species	227	Pseudoalteromonas carrageenovora	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura6839	point	no	0	227	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
228	Pseudoalteromonas haloplanktis	species	228	Pseudoalteromonas haloplanktis	30.0	meso	exact_taxid	2	30.0	30.0	30.0;30.0	Lyubetsky et al., 2020;Tempura	Lyu399;Tempura6838	point	no	0	228	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
235	Brucella abortus	species	235	Brucella abortus	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu651	point	no	0	235	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
236	Brucella ovis	species	236	Brucella ovis	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu654	point	no	0	236	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
238	Elizabethkingia meningoseptica	species	238	Elizabethkingia meningoseptica	29.5	meso	exact_taxid	1	29.5	29.5	29.5	Lyubetsky et al., 2020	Lyu336	point	no	0	238	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia
249	Terrimonas ferruginea	species	249	Terrimonas ferruginea	28.5	meso	exact_taxid	1	28.5	28.5	28.5	Tempura	Tempura6109	point	no	0	249	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas
253	Chryseobacterium indologenes	species	253	Chryseobacterium indologenes	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu228	point	no	0	253	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
263	Francisella tularensis	species	263	Francisella tularensis	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu709	point	no	0	263	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
266	Paracoccus denitrificans	species	266	Paracoccus denitrificans	33.5	meso	exact_taxid	1	33.5	33.5	33.5	Lyubetsky et al., 2020	Lyu523	point	no	0	266	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus
271	Thermus aquaticus	species	271	Thermus aquaticus	70.0	thermo	exact_taxid	3	70.0	70.0	70.0;70.0;70.0	Lyubetsky et al., 2020;Tempura;ThermoBase	ThermoBase243;Lyu915;Tempura207	point	no	0	271	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
274	Thermus thermophilus	species	274	Thermus thermophilus	68.5	thermo	exact_taxid	1	68.5	68.5	68.5	ThermoBase	ThermoBase167	point	no	0	274	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
276	Thermus filiformis	species	276	Thermus filiformis	72.2	thermo	exact_taxid	2	71.5	73.0	73.0;71.5	Tempura;ThermoBase	ThermoBase201;Tempura199	point	no	0	276	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
277	Meiothermus ruber	species	277	Meiothermus ruber	61.2	thermo	exact_taxid	2	60.0	62.5	60.0;62.5	Lyubetsky et al., 2020;Tempura	Lyu883;Tempura390	point	no	0	277	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
280	Xanthobacter autotrophicus	species	280	Xanthobacter autotrophicus	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu264	point	no	0	280	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacter
288	Pseudoalteromonas atlantica	species	288	Pseudoalteromonas atlantica	30.0	meso	exact_taxid	2	30.0	30.0	30.0;30.0	Lyubetsky et al., 2020;Tempura	Lyu397;Tempura6837	point	no	0	288	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
292	Burkholderia cepacia	species	292	Burkholderia cepacia	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Lyubetsky et al., 2020	Lyu462	point	no	0	292	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
296	Pseudomonas fragi	species	296	Pseudomonas fragi	20.0	meso	exact_taxid	1	20.0	20.0	20.0	Lyubetsky et al., 2020	Lyu142	point	no	0	296	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
298	Pseudomonas marginalis	species	298	Pseudomonas marginalis	25.5	meso	exact_taxid	1	25.5	25.5	25.5	Tempura	Tempura4766	point	no	0	298	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
300	Pseudomonas mendocina	species	300	Pseudomonas mendocina	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Lyubetsky et al., 2020	Lyu556	point	no	0	300	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
303	Pseudomonas putida	species	303	Pseudomonas putida	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu251	point	no	0	303	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
316	Stutzerimonas stutzeri	species	316	Stutzerimonas stutzeri	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Lyubetsky et al., 2020	Lyu557	point	no	0	316	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas
333	Pseudomonas chlororaphis subsp. chlororaphis	subspecies	587753	Pseudomonas chlororaphis	30.0	meso	species_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu403	point	no	0	587753	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
337	Burkholderia glumae	species	337	Burkholderia glumae	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Lyubetsky et al., 2020	Lyu464	point	no	0	337	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
339	Xanthomonas campestris	species	339	Xanthomonas campestris	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Lyubetsky et al., 2020	Lyu289	point	no	0	339	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas
343	Xanthomonas translucens	species	343	Xanthomonas translucens	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Lyubetsky et al., 2020	Lyu293	point	no	0	343	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas
347	Xanthomonas oryzae	species	347	Xanthomonas oryzae	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Lyubetsky et al., 2020	Lyu291	point	no	0	347	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas
353	Azotobacter chroococcum	species	353	Azotobacter chroococcum	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Lyubetsky et al., 2020	Lyu172	point	no	0	353	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
358	Agrobacterium tumefaciens	species	358	Agrobacterium tumefaciens	28.0	meso	exact_taxid	2	26.5	29.5	26.5;29.5	Lyubetsky et al., 2020;Tempura	Lyu209;Tempura7042	point	no	0	358	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium
359	Rhizobium rhizogenes	species	359	Rhizobium rhizogenes	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Lyubetsky et al., 2020	Lyu208	point	no	0	359	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
373	Agrobacterium vitis	species	373	Agrobacterium vitis	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Lyubetsky et al., 2020	Lyu210	point	no	0	373	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium
375	Bradyrhizobium japonicum	species	375	Bradyrhizobium japonicum	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu222	point	no	0	375	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium
380	Sinorhizobium fredii	species	380	Sinorhizobium fredii	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu258	point	no	0	380	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium
381	Mesorhizobium loti	species	381	Mesorhizobium loti	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu242	point	no	0	381	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
382	Sinorhizobium meliloti	species	382	Sinorhizobium meliloti	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu260	point	no	0	382	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium
384	Rhizobium leguminosarum	species	384	Rhizobium leguminosarum	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu254	point	no	0	384	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
398	Rhizobium tropici	species	398	Rhizobium tropici	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu255	point	no	0	398	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
405	Methylobacillus flagellatus	species	405	Methylobacillus flagellatus	42.0	meso	exact_taxid	2	42.0	42.0	42.0;42.0	Lyubetsky et al., 2020;ThermoBase	ThermoBase926;Lyu841	point	no	0	405	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus
408	Methylorubrum extorquens	species	408	Methylorubrum extorquens	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu243	point	no	0	408	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum
414	Methylococcus capsulatus	species	414	Methylococcus capsulatus	45.0	thermo	exact_taxid	1	45.0	45.0	45.0	Lyubetsky et al., 2020	Lyu848	point	no	0	414	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus
415	Methylobacter luteus	species	415	Methylobacter luteus	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3953	point	no	0	415	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
421	Methylomonas methanica	species	421	Methylomonas methanica	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Lyubetsky et al., 2020	Lyu469	point	no	0	421	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas
435	Acetobacter aceti	species	435	Acetobacter aceti	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu339	point	no	0	435	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
437	Acidomonas methanolica	species	437	Acidomonas methanolica	33.5	meso	exact_taxid	1	33.5	33.5	33.5	aciDB	aciDB73	point	no	0	437	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas
438	Acetobacter pasteurianus	species	438	Acetobacter pasteurianus	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu340	point	no	0	438	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
442	Gluconobacter oxydans	species	442	Gluconobacter oxydans	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu238	point	no	0	442	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
446	Legionella pneumophila	species	446	Legionella pneumophila	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Lyubetsky et al., 2020	Lyu606	point	no	0	446	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
480	Moraxella catarrhalis	species	480	Moraxella catarrhalis	34.0	meso	exact_taxid	1	34.0	34.0	34.0	Lyubetsky et al., 2020	Lyu538	point	no	0	480	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella
485	Neisseria gonorrhoeae	species	485	Neisseria gonorrhoeae	35.5	meso	exact_taxid	1	35.5	35.5	35.5	Lyubetsky et al., 2020	Lyu569	point	no	0	485	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
486	Neisseria lactamica	species	486	Neisseria lactamica	35.5	meso	exact_taxid	1	35.5	35.5	35.5	Lyubetsky et al., 2020	Lyu570	point	no	0	486	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
487	Neisseria meningitidis	species	487	Neisseria meningitidis	36.5	meso	exact_taxid	1	36.5	36.5	36.5	Lyubetsky et al., 2020	Lyu622	point	no	0	487	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
491	Neisseria meningitidis serogroup B	serogroup	487	Neisseria meningitidis	36.5	meso	species_taxid	1	36.5	36.5	36.5	Lyubetsky et al., 2020	Lyu622	point	no	0	487	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
495	Neisseria elongata	species	495	Neisseria elongata	35.0	meso	exact_taxid	2	35.0	35.0	35.0;35.0	Lyubetsky et al., 2020;Tempura	Lyu552;Tempura2280	point	no	0	495	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
496	Neisseria macacae	species	496	Neisseria macacae	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Tempura	Tempura5956	point	no	0	496	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
498	Psychrobacter immobilis	species	498	Psychrobacter immobilis	22.5	meso	exact_taxid	1	22.5	22.5	22.5	Tempura	Tempura8521	point	no	0	498	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter
500	Thermomicrobium roseum	species	500	Thermomicrobium roseum	72.5	thermo	exact_taxid	2	72.5	72.5	72.5;72.5	Lyubetsky et al., 2020;Tempura	Lyu923;Tempura196	point	no	0	500	Bacteria	Thermomicrobiota	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium
511	Alcaligenes faecalis	species	511	Alcaligenes faecalis	28.5	meso	exact_taxid	1	28.5	28.5	28.5	Lyubetsky et al., 2020	Lyu300	point	no	0	511	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
518	Bordetella bronchiseptica	species	518	Bordetella bronchiseptica	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Lyubetsky et al., 2020	Lyu581	point	no	0	518	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
519	Bordetella parapertussis	species	519	Bordetella parapertussis	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Lyubetsky et al., 2020	Lyu584	point	no	0	519	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
