taxid	name	rank	species_taxid	species_name	ogt	regime	ogt_match_type	ogt_row_count	ogt_temp_min	ogt_temp_max	ogt_raw_temps	ogt_sources	ogt_source_ids	ogt_parse_modes	ogt_has_range	ogt_range_count	ogt_source_taxids	superkingdom	phylum	class	order	family	genus
1579316	Falsihalocynthiibacter arcticus	species	1579316	Falsihalocynthiibacter arcticus	21.0	meso	exact_taxid	1	21.0	21.0	21.0	Tempura	Tempura8396	point	no	0	1579316	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Falsihalocynthiibacter
1579330	Paenibacillus gelatinilyticus	species	1579330	Paenibacillus gelatinilyticus	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura2513	point	no	0	1579330	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1579333	Limibacillus halophilus	species	1579333	Limibacillus halophilus	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Tempura	Tempura3363	point	no	0	1579333	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Fodinicurvataceae	Limibacillus
1579979	Wenzhouxiangella marina	species	1579979	Wenzhouxiangella marina	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Tempura	Tempura1639	point	no	0	1579979	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella
1580092	Nitrosopumilus adriaticus	species	1580092	Nitrosopumilus adriaticus	31.0	meso	exact_taxid	1	31.0	31.0	31.0	Tempura	Tempura7272	point	no	0	1580092	Archaea	Nitrososphaerota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
1580596	Phaeobacter piscinae	species	1580596	Phaeobacter piscinae	32.0	meso	exact_taxid	1	32.0	32.0	32.0	Tempura	Tempura7041	point	no	0	1580596	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Phaeobacter
1580872	Taibaiella coffeisoli	species	1580872	Taibaiella coffeisoli	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura6676	point	no	0	1580872	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella
1581172	Arthrobacter pokkalii	species	1581172	Arthrobacter pokkalii	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6153	point	no	0	1581172	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1581193	Nonomuraea indica	species	1581193	Nonomuraea indica	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura2484	point	no	0	1581193	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea
1581411	Luteolibacter arcticus	species	1581411	Luteolibacter arcticus	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura6263	point	no	0	1581411	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
